URL,Title,Folder
https://www.youtube.com/watch?v=MopAPtdn1BA&list=LL&index=403&pp=gAQBiAQB,Golden Ribbon Background / Luxury Background / Stock Vectors / Adobe Illustrator Tutorial,Illustrator
https://www.youtube.com/watch?v=gITrH25UJPs&list=LL&index=398&pp=gAQBiAQB,How to Create A 10 Web Shadows in Adobe Illustrator cc  for Beginners,Illustrator
https://www.youtube.com/watch?v=VrkFqscjWj8&list=LL&index=350&pp=gAQBiAQB,How to Design Golden Ribbon in Adobe Illustrator Tutorial,Illustrator
https://www.youtube.com/watch?v=jp6c9SjuFvk&list=LL&index=333&pp=gAQBiAQB,2 Ways to Select Transparent Objects in Photoshop,Photoshop
https://www.youtube.com/watch?v=if98zigAbJk&list=LL&index=326&pp=gAQBiAQB,3d Objects from 2d Images Video,Photoshop
https://www.youtube.com/watch?v=fDd_sM6TJi4&list=LL&index=325&pp=gAQBiAQB,How To Create 3D Objects From Photos in Photoshop,Photoshop
https://www.youtube.com/watch?v=xOub1PXw4-4&list=LL&index=317&pp=gAQBiAQB,How To Design 3D  Rendered Stage in Photoshop with 2D Tools | Smart Trick,Photoshop
https://www.youtube.com/watch?v=lfJX1nkJ7Ts&list=LL&index=313&pp=gAQBiAQB,Photoshop Tutorial - Gadget Ads Design in Photoshop Free Psd,Design by Photoshop
https://www.youtube.com/watch?v=q5H-iTlaj44&list=LL&index=225&pp=gAQBiAQB,Creative Brand Design | For Cosmetics Company | Adobe Photoshop tutorial,Photoshop
https://www.youtube.com/watch?v=4GbRwuw-2C8&list=LL&index=223&t=132s&pp=gAQBiAQB,Photoshop Layer Breakdown Video | How to Create a Video From Layers in Photoshop,Photoshop
https://www.youtube.com/watch?v=cej23rx2FiY&list=LL&index=206&pp=gAQBiAQB,EASY Way to Add Smoke Effect - Photo Manipulation Photoshop,Design by Photoshop
https://www.youtube.com/watch?v=-k3HrQ7BfCI&list=LL&index=205&pp=gAQBiAQB,How to Create SMOKE Photoshop CC,Photoshop
https://www.youtube.com/watch?v=ePA-Ulrdr74&list=LL&index=572&pp=gAQBiAQB,3D Isometric Cube Design in Adobe Illustrator CC,Illustrator
https://www.youtube.com/watch?v=3jSWWLIDZzM&list=LL&index=512&pp=gAQBiAQB,Create Cinematic Light Rays in Adobe Photoshop!,Photoshop
https://www.youtube.com/watch?v=iSJ_En7T_5c&list=LL&index=490&pp=gAQBiAQB,Create Tiny planet effect on photoshop,Photoshop
https://www.youtube.com/watch?v=Al5J2oqpa94&list=LL&index=477&pp=gAQBiAQB,Brochure Mockup for Freepik,Mockup
https://www.youtube.com/watch?v=_6HiSBMjfdE&list=LL&index=468&pp=gAQBiAQB,Create Halftone Pattern with Dynamic Symbol,Illustrator
https://www.youtube.com/watch?v=-OI3hMcji3o&list=LL&index=463&pp=gAQBiAQB,Illustrator - Halftones with spaced out circles,Illustrator
